Address:,USB0::0x2A8D::0x178B::CN59340121::0::INSTR,,Analog Channels,,
Model:,EDU-X 1002A,,Time (s),2 (VOLT),
,,,2.708E-06,20.1304550468922,
,,,2.71E-06,20.532465159893,
,,,2.712E-06,20.9344752728939,
,,,2.714E-06,20.9344752728939,
,,,2.716E-06,20.532465159893,
,,,2.718E-06,20.532465159893,
,,,2.72E-06,20.532465159893,
,,,2.722E-06,20.532465159893,
,,,2.724E-06,20.532465159893,
,,,2.726E-06,20.532465159893,
,,,2.728E-06,20.532465159893,
,,,2.73E-06,20.532465159893,
,,,2.732E-06,20.532465159893,
,,,2.734E-06,20.532465159893,
,,,2.736E-06,20.532465159893,
,,,2.738E-06,20.532465159893,
,,,2.74E-06,20.532465159893,
,,,2.742E-06,20.1304550468922,
,,,2.744E-06,20.1304550468922,
,,,2.746E-06,20.1304550468922,
,,,2.748E-06,20.1304550468922,
,,,2.75E-06,19.7284449338913,
,,,2.752E-06,20.1304550468922,
,,,2.754E-06,20.1304550468922,
,,,2.756E-06,20.532465159893,
,,,2.758E-06,20.532465159893,
,,,2.76E-06,20.532465159893,
,,,2.762E-06,20.532465159893,
,,,2.764E-06,20.532465159893,
,,,2.766E-06,20.1304550468922,
,,,2.768E-06,20.532465159893,
,,,2.77E-06,20.1304550468922,
,,,2.772E-06,20.1304550468922,
,,,2.774E-06,20.1304550468922,
,,,2.776E-06,20.532465159893,
,,,2.778E-06,20.532465159893,
,,,2.78E-06,20.532465159893,
,,,2.782E-06,20.532465159893,
,,,2.784E-06,20.532465159893,
,,,2.786E-06,20.532465159893,
,,,2.788E-06,20.1304550468922,
,,,2.79E-06,20.1304550468922,
,,,2.792E-06,20.1304550468922,
,,,2.794E-06,20.1304550468922,
,,,2.796E-06,20.532465159893,
,,,2.798E-06,20.532465159893,
,,,2.8E-06,20.532465159893,
,,,2.802E-06,20.532465159893,
,,,2.804E-06,20.532465159893,
,,,2.806E-06,20.532465159893,
,,,2.808E-06,20.1304550468922,
,,,2.81E-06,20.1304550468922,
,,,2.812E-06,20.1304550468922,
,,,2.814E-06,20.532465159893,
,,,2.816E-06,20.532465159893,
,,,2.818E-06,20.532465159893,
,,,2.82E-06,20.532465159893,
,,,2.822E-06,20.532465159893,
,,,2.824E-06,20.532465159893,
,,,2.826E-06,20.532465159893,
,,,2.828E-06,20.532465159893,
,,,2.83E-06,20.532465159893,
,,,2.832E-06,20.532465159893,
,,,2.834E-06,20.532465159893,
,,,2.836E-06,20.532465159893,
,,,2.838E-06,20.1304550468922,
,,,2.84E-06,20.1304550468922,
,,,2.842E-06,20.1304550468922,
,,,2.844E-06,20.1304550468922,
,,,2.846E-06,20.1304550468922,
,,,2.848E-06,20.1304550468922,
,,,2.85E-06,20.532465159893,
,,,2.852E-06,20.532465159893,
,,,2.854E-06,20.532465159893,
,,,2.856E-06,20.532465159893,
,,,2.858E-06,20.532465159893,
,,,2.86E-06,20.9344752728939,
,,,2.862E-06,20.532465159893,
,,,2.864E-06,20.532465159893,
,,,2.866E-06,20.532465159893,
,,,2.868E-06,20.1304550468922,
,,,2.87E-06,20.1304550468922,
,,,2.872E-06,19.7284449338913,
,,,2.874E-06,18.9244247078896,
,,,2.876E-06,15.7083438038826,
,,,2.878E-06,10.0802022218704,
,,,2.88E-06,4.05005052685738,
,,,2.882E-06,0.833969622850418,
,,,2.884E-06,-0.372060716152191,
,,,2.886E-06,0.431959509849548,
,,,2.888E-06,0.431959509849548,
,,,2.89E-06,0.0299493968486786,
,,,2.892E-06,0.0299493968486786,
,,,2.894E-06,-0.372060716152191,
,,,2.896E-06,-0.774070829153061,
,,,2.898E-06,-0.774070829153061,
,,,2.9E-06,-1.17608094215393,
,,,2.902E-06,-0.774070829153061,
,,,2.904E-06,-0.774070829153061,
