"A,1 Log Mag"
"Frequency (Hz)","dB",
21881625000, -1.045229e+002,
21881750000, -1.027584e+002,
21881875000, -1.025538e+002,
21882000000, -1.027042e+002,
21882125000, -1.031348e+002,
21882250000, -1.033648e+002,
21882375000, -1.022713e+002,
21882500000, -1.041250e+002,
21882625000, -1.024675e+002,
21882750000, -1.035286e+002,
21882875000, -1.029800e+002,
21883000000, -1.046666e+002,
21883125000, -1.041595e+002,
21883250000, -1.026924e+002,
21883375000, -1.020951e+002,
21883500000, -1.019696e+002,
21883625000, -1.044521e+002,
21883750000, -1.039348e+002,
21883875000, -1.033513e+002,
21884000000, -1.035272e+002,
21884125000, -1.029269e+002,
21884250000, -1.020370e+002,
21884375000, -1.047541e+002,
21884500000, -1.024326e+002,
21884625000, -1.026506e+002,
21884750000, -1.034037e+002,
21884875000, -1.032786e+002,
21885000000, -1.034570e+002,
21885125000, -1.034911e+002,
21885250000, -1.021273e+002,
21885375000, -1.033673e+002,
21885500000, -1.031405e+002,
21885625000, -1.027222e+002,
21885750000, -1.024888e+002,
21885875000, -1.029027e+002,
21886000000, -1.028690e+002,
21886125000, -1.022391e+002,
21886250000, -1.031228e+002,
21886375000, -1.024874e+002,
21886500000, -1.027340e+002,
21886625000, -1.034383e+002,
21886750000, -1.023264e+002,
21886875000, -1.032690e+002,
21887000000, -1.031013e+002,
21887125000, -1.007805e+002,
21887250000, -1.034289e+002,
21887375000, -1.030258e+002,
21887500000, -1.022557e+002,
21887625000, -1.025278e+002,
21887750000, -1.017632e+002,
21887875000, -1.036331e+002,
21888000000, -1.033303e+002,
21888125000, -1.034485e+002,
21888250000, -1.037055e+002,
21888375000, -1.035329e+002,
21888500000, -1.035431e+002,
21888625000, -1.029100e+002,
21888750000, -1.045638e+002,
21888875000, -1.034220e+002,
21889000000, -1.032722e+002,
21889125000, -1.037610e+002,
21889250000, -1.029745e+002,
21889375000, -1.031669e+002,
21889500000, -1.018004e+002,
21889625000, -1.020924e+002,
21889750000, -1.030811e+002,
21889875000, -1.023842e+002,
21890000000, -1.025527e+002,
21890125000, -1.033117e+002,
21890250000, -1.031198e+002,
21890375000, -1.032425e+002,
21890500000, -1.033133e+002,
21890625000, -1.030877e+002,
21890750000, -1.052578e+002,
21890875000, -1.032568e+002,
21891000000, -1.036389e+002,
21891125000, -1.035008e+002,
21891250000, -1.035393e+002,
21891375000, -1.025597e+002,
21891500000, -1.026926e+002,
21891625000, -1.027875e+002,
21891750000, -1.023272e+002,
21891875000, -1.039295e+002,
21892000000, -1.030015e+002,
21892125000, -1.019161e+002,
21892250000, -1.046331e+002,
21892375000, -1.023413e+002,
21892500000, -1.039819e+002,
21892625000, -1.020570e+002,
21892750000, -1.032670e+002,
21892875000, -1.038282e+002,
21893000000, -1.014826e+002,
21893125000, -1.038166e+002,
21893250000, -1.033847e+002,
21893375000, -1.035667e+002,
21893500000, -1.029926e+002,
21893625000, -1.030246e+002,
21893750000, -1.031411e+002,
21893875000, -1.043238e+002,
